Title,Description+UB:AF,Keywords,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services,servicesnotoffered,ServiceAlert,AddressDetails,MainAlert,TimeAlert,Wheelchair,Type,Last updated,Initial,Holiday,URL
Gin Gin Police Station,81 Mulgrave Street:driver licence; boat licence; practical driver tests,driver licence; boat licence; practical driver tests,,81 Mulgrave Street,Gin Gin,4671,,PO Box 229,Gin Gin,4671,-24.992891,151.957207,(07) 4157 2211,(07) 4157 3267,,9:00,12:00,9:00,12:00,9:00,12:00,9:00,12:00,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  practical driver testing for all licence classes up to heavy combination (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",, Southern entrance to town,,,,Queensland Police Station,,g,,/transport/contacts/centres/view?title=Gin Gin Police Station
Giru Police Station,Cnr Bird and Walton Streets:driver licence; practical driver tests; registration; pre-registration inspections,driver licence; practical driver tests; registration; pre-registration inspections,,Cnr Bird and Walton Streets,Giru,4809,,Bird and Walton Streets,Giru,4809,-19.512664,147.107241,(07) 4782 9180,(07) 4782 9519,,9:00,14:00,9:00,14:00,9:00,14:00,,,9:00,14:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for light vehicles only (except motorcycles)
*  registration of vehicles and vessels
*  pre-registration inspections for light vehicles only","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,,Queensland Police Station,,g,,/transport/contacts/centres/view?title=Giru Police Station
Gladstone Transport and Main Roads Customer Service Centre,"2 Paterson St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests",,2 Paterson Street,Gladstone,4680,,PO Box 1025,Gladstone,4680,-23.865715,151.242198,13 23 80,(07) 4836 8150,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles in fine weather only
*  practical driver testing for all licence classes (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,g,,/transport/contacts/centres/view?title=Gladstone Transport and Main Roads Customer Service Centre
Gladstone Motor Vehicle Inspection Centre,"2 Paterson St Services: vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,2 Paterson Street,Gladstone,4680,,PO Box 1025,Gladstone,4680,-23.865715,151.242198,13 23 90,(07) 4836 8115,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass ","####Services not offered at this location#### 
* safety inspections for light vehicles and heavy vehicles up to 16 tonne GVM - these are performed at Approved Inspection Stations",,,, Please contact this location for operating times,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Motor Vehicle Inspection Centre,,g,,/transport/contacts/centres/view?title=Gladstone Motor Vehicle Inspection Centre
Glenden Police Station,Bell Pl:,,,Bell Pl,Glenden,4743,,Bell Pl,Glenden,4743,-21.358553,148.119562,(07) 4958 9120,(07) 4958 9702,,,,,,,,,,,,,,,,,,,,,, Please contact this location for operating times and services offered,,Queensland Police Station,,g,,/transport/contacts/centres/view?title=Glenden Police Station
Goombungee Police Station,42 Barker Street:driver licence; practical driver tests,driver licence; practical driver tests,,42 Barker Street,Goombungee,4354,,PO Box 29,Goombungee,4354,-27.306722,151.854394,(07) 4696 5120,(07) 4696 5972,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,, Please contact this location for operating times,,Queensland Police Station,,g,,/transport/contacts/centres/view?title=Goombungee Police Station
Goombungee QGAP,89 Mocatta Street:registration,registration,,89 Mocatta Street,Goombungee,4354,C/- Toowoomba Regional Council, PO Box 3021,Toowoomba,4350,-27.303765,151.85163,(07) 4696 5985,(07) 4696 7940,,8:30,17:00,8:30,17:00,8:30,17:00,8:30,17:00,8:30,17:00,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,g,,/transport/contacts/centres/view?title=Goombungee QGAP
Goondiwindi Transport and Main Roads Customer Service Centre,"6 Brisbane St Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests",,6 Brisbane Street,Goondiwindi,4390,,PO Box 232,Goondiwindi,4390,-28.544476,150.306116,13 23 80,(07) 4671 3173,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles in fine weather only
*  practical driver testing for all licence classes",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,g,,/transport/contacts/centres/view?title=Goondiwindi Transport and Main Roads Customer Service Centre
Gordonvale Police Station,11 Cannon St:driver licence; practical driver tests,driver licence; practical driver tests,,11 Cannon St,Gordonvale,4865,,11 Cannon Street,Gordonvale,4865,-17.093335,145.786628,(07) 4056 3200,(07) 4056 3061,,,,9:00,14:00,,,9:00,14:00,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for all licence classes up to heavy combination (except motorcycles)","####Services not offered at this location#### 
* interstate transfer of licensing
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",, Opposite Norman Park,Currently transport services are not available at Gordonvale Police Station. The next closest location offering registration and licensing services is [Cairns Bentley Park Transport and Main Roads Customer Service Centre](https://www.qld.gov.au/transport/contacts/centres/view?title=Cairns%20Bentley%20Park%20Transport%20and%20Main%20Roads%20Customer%20Service%20Centre).,,,Queensland Police Station,,g,,/transport/contacts/centres/view?title=Gordonvale Police Station
Greenslopes Transport and Main Roads Customer Service Centre,"Greenslopes Shopping Mall Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles","driver licence, boat licence, registration, industry licensing, pre-registration inspections light vehicles, practical driver tests, motorcycles, motorbikes",Greenslopes Shopping Mall,"700 Logan Road, Corner Plimsoll Street",Greenslopes,4120,,PO Box 9,Greenslopes,4120,-27.51193082,153.0538829,13 23 80,(07) 3304 6350,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services 
*  practical driver testing (except motorcycles)

Self-service kiosks are currently available at Greenslopes to access many Transport and Main Roads and other Government services online. Ask our friendly staff for assistance.","####Services not offered at this location####
* heavy vehicle practical driver testing
* pre-registration inspections for heavy vehicles
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service.",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,g,,/transport/contacts/centres/view?title=Greenslopes Transport and Main Roads Customer Service Centre
Greenvale Police Station,"8 Acacia Drive:driver licence; practical driver tests; pre-registration inspections, registration","driver licence; practical driver tests; pre-registration inspections, registration",,8 Acacia Drive,Greenvale,4816,,PO Box 1,Greenvale,4816,-18.999588,144.980239,(07) 4788 4400,(07) 4755 4401,,,,9:30,15:00,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for light vehicles only
*  pre-registration inspections, registration of vehicles and vessels",,, Near Greenvale State School,Services are offered by appointment only. ,,,Queensland Police Station,,g,,/transport/contacts/centres/view?title=Greenvale Police Station
Gympie Transport and Main Roads Customer Service Centre,"Floor 1, 50 River Road Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles","driver licence, boat licence, registration, industry licensing, pre-registration inspections light vehicles, motorcycles, motorbikes",Floor 1,50 River Road,Gympie,4570,,PO Box 271,Gympie,4570,-26.193275,152.661636,13 23 80,(07) 5482 0320,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass","####Services not offered at this location#### 
* pre-registration inspections for trailers, including imported trailers 
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,g,,/transport/contacts/centres/view?title=Gympie Transport and Main Roads Customer Service Centre
Gympie Motor Vehicle Inspection Centre,"13 Oak Street Services: driver license, boat license, registration, industry licensing, pre-registration inspections light vehicles, motorcycles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,13 Oak Street,Gympie,4570,,PO Box 645,Toowoomba,4350,-26.181129,152.648589,13 23 90,,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass
*  safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Approved Inspection Stations","####Services not offered at this location#### 
* safety inspections for light vehicles and heavy vehicles up to 16 tonne GVM - these are performed by Approved Inspection Stations. ",,,,Opening hours by appointment only.,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** no,Motor Vehicle Inspection Centre,,g,,/transport/contacts/centres/view?title=Gympie Motor Vehicle Inspection Centre
Halifax Police Station,4 Musgrave Street:registration,registration,,4 Musgrave Street,Halifax,4850,,4 Musgrave Street,Halifax,4850,-18.582699,146.285705,(07) 4777 7200,(07) 4777 7024,,,,11:00,16:00,9:00,14:00,9:00,14:00,,,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels",,,,,,,Queensland Police Station,,h,,/transport/contacts/centres/view?title=Halifax Police Station
